"replicateID","Latitude","Longitude","Island","Depth_m","Complexity","Exposure","Coral","Macro","Other","Turf","CCA","Browsers","Grazers","Scrapers","Predators","SecConsumers","regime"
1,21.13264329,-157.3100862,"Molokai",28.7,2.872668049,"S",4.729729665,0,0,91.89189199,0.337837804,0,16.3234254801875,0,0,13.7516329824094,3
2,21.13830761,-157.3089739,"Molokai",29.4,1.654711805,"S",0.336700303,1.683501719,6.39730637,81.14478119,1.683501617,0,0,0,0.0292744253058897,3.01299285599048,4
3,21.12725113,-157.3078854,"Molokai",23,3.751546066,"S",2.675585316,1.003344481,1.337792608,92.97658863,0,40.7965821664364,28.6223952152886,91.0842639700898,4.15191465844979,11.0677737230317,4
4,21.10671731,-157.3077275,"Molokai",2.8,4.889608225,"S",1.023890785,18.08873715,1.023890786,77.81569971,1.706484677,0.163842617642075,1.32498637722357,0.153250226129923,0,3.39399842540849,1
5,21.11349657,-157.3049856,"Molokai",7.3152,3.793523485,"S",3.55555555555556,9.77777777777778,0.888888888888889,83.5555555555556,1.33333333333333,0.24807617105851,0.890407173485476,0,0,2.87268276624613,1
6,21.12481435,-157.3033057,"Molokai",11.5,5.2759378605,"S",17.620554573625,25.716524788125,4.836712196875,44.87576001875,6.3488355195,5.42015432571477,4.62847731423261,0.143308982073212,1.34746641560621,2.23899510049459,2
7,21.11504859,-157.3029511,"Molokai",3.7,3.801156952,"S",2.006688962,7.357859597,0.668896354,89.63210696,0.334448127,0,7.73463691185057,6.8952771115064,1.03938813987097,8.45698152004361,2
8,21.14829708,-157.2999378,"Molokai",29.1,2.511287943,"S",0.67567571,0.337837804,5.743243281,86.48648651,1.351351318,0,0.0691278930137315,0,0,3.341159849564,1
9,21.12889657,-157.3002856,"Molokai",10.0584,6.865359052,"S",4,17.3333333333333,21.7777777777778,53.3333333333333,3.11111111111111,1.65536616060518,11.7750002557319,0,0.96791417329773,8.4110823704959,2
10,21.09039657,-157.2972856,"Molokai",10.9728,NA,"S",3.55555555555556,6.66666666666667,54.2222222222222,30.6666666666667,1.77777777777778,0,14.3268769852994,0,0,6.78782508237623,1
11,21.14013176,-157.2932601,"Molokai",7.3152,3.527317467,"S",1.64648846666667,6.25524110555556,12.8595388,72.9193308796296,5.7519654,0.29984146779213,0.981644099355975,0.300271237688137,4.98329759633993,4.95386115730793,2
12,21.14505178,-157.2923305,"Molokai",12.1,9.274512833,"S",2.898550863,5.314009711,0.48309181,87.43961333,2.415458951,0,3.92502186675162,0,0,1.54899343698995,1
13,21.14264047,-157.2919945,"Molokai",3.2,12.03010464,"S",4.87804877,0,0.348432069,74.91289191,16.02787459,17.2608922781682,7.58022222348895,37.7681199007696,0,20.0033546162611,3
14,21.15869198,-157.2829786,"Molokai",15.2,4.736315871,"S",0.675675709,7.770270301,2.027027026,86.82432433,0,0.349691242048691,4.79583733710701,1.49511095563425,0,6.94798645186659,1
15,21.16783187,-157.281781,"Molokai",24.7,5.300502809,"S",1.003344482,3.344481574,1.003344482,86.6220736,0.334448127,0,0.00728213395654554,0,0.0645264721258074,2.95162112298824,4
16,21.1668133,-157.2798782,"Molokai",21.2,4.558561184,"S",1.158301204,0,8.880308826,88.416988364,0.772200802,35.1275758647156,65.6321489478889,67.5894588500468,0,17.5466071875524,3
17,21.16732469,-157.2724272,"Molokai",12,2.857134952,"S",0,4.1582733905,53.170263785,41.232613935,0.3597122235,0,0,0,0,0.480651836735725,1
18,21.08899657,-157.2777856,"Molokai",7.3152,NA,"S",8,1.33333333333333,11.5555555555556,75.5555555555556,1.33333333333333,2.58252037664177,39.1317179812421,2.28102637455489,4.8671410228458,23.5467108559571,2
19,21.2135425,-157.2599083,"Molokai",15.5,10.04550703,"S",8.108108122,1.35135132,1.35135132,86.4864866,0,0,0.0133238827846511,0.0503201148589048,0.00833131832026964,8.82757416294988,4
